"test.test6.id","prob","cancel"
7583,0.457529297236852,0
7584,0.739835366729543,1
7585,0.377813810774973,0
7586,0.193859998649511,0
7587,0.326145130067911,0
7588,0.710738840838207,1
7589,0.427738796516618,0
7590,0.553280630215138,1
7591,0.264220658424623,0
7592,0.522853136029344,1
7593,0.517921502751642,1
7594,0.253305162774209,0
7595,0.401716318404982,0
7596,0.268162636831937,0
7597,0.777125361750095,1
7598,0.289915921143811,0
7599,0.701919163453526,1
7600,0.32544389035259,0
7601,0.0829163305588261,0
7602,0.717967514771214,1
7603,0.166157538789787,0
7604,0.6191818205861,1
7605,0.384160905795557,0
7606,0.675384305448554,1
7607,0.451361897540821,0
7608,0.737902927010712,1
7609,0.593059958955211,1
7610,0.309344679550598,0
7611,0.505150352655998,1
7612,0.243689758047184,0
7613,0.643047153243834,1
7614,0.521362946118745,1
7615,0.523835799056004,1
7616,0.672523794133241,1
7617,0.369436978018078,0
7618,0.490778245088719,0
7619,0.510840786059173,1
7620,0.399418760272881,0
7621,0.51719516548522,1
7622,0.236563589500201,0
7623,0.276743963403939,0
7624,0.207453872952345,0
7625,0.2561709930061,0
7626,0.258834341380952,0
7627,0.224071147859918,0
7628,0.628098213829671,1
7629,0.698472981860876,1
7630,0.370053175619896,0
7631,0.545489509805781,1
7632,0.633533490531561,1
7633,0.275605313960672,0
7634,0.193582228530347,0
7635,0.347110373017239,0
7636,0.189639357981129,0
7637,0.47111645097818,0
7638,0.4101592740124,0
7639,0.505425721331876,1
7640,0.340203513829903,0
7641,0.235030283981064,0
7642,0.45184633917822,0
7643,0.607165700111825,1
7644,0.690654188758023,1
7645,0.338693465473707,0
7646,0.665907266276423,1
7647,0.887254510313401,1
7648,0.298589144998773,0
7649,0.549124033118634,1
7650,0.187215969093662,0
7651,0.652944626549131,1
7652,0.834101323607543,1
7653,0.302155267899855,0
7654,0.685953177959024,1
7655,0.668764879320487,1
7656,0.733959415204135,1
7657,0.362109376363456,0
7658,0.405820644126945,0
7659,0.262742132278576,0
7660,0.477808443387774,0
7661,0.485976628113273,0
7662,0.601520770902351,1
7663,0.860684578815441,1
7664,0.653018331564908,1
7665,0.236210832617011,0
7666,0.278008834346088,0
7667,0.154009326515215,0
7668,0.290836529469002,0
7669,0.448971811560877,0
7670,0.309211849315126,0
7671,0.234933191042024,0
7672,0.405770226760143,0
7673,0.205557327605669,0
7674,0.519765607493786,1
7675,0.742817991007202,1
7676,0.502782653086514,1
7677,0.167085002607541,0
7678,0.326318728639039,0
7679,0.165145743674185,0
7680,0.534445554047902,1
7681,0.650277973075062,1
7682,0.893264865872656,1
7683,0.643818253560936,1
7684,0.307854177071783,0
7685,0.385798681738867,0
7686,0.933187366147068,1
7687,0.240127865287307,0
7688,0.180414747307626,0
7689,0.470937322116397,0
7690,0.3953804198572,0
7691,0.626538802617562,1
7692,0.53142984045744,1
7693,0.280210403557926,0
7694,0.221378545407777,0
7695,0.347629302824943,0
7696,0.698444154473525,1
7697,0.318610507184916,0
7698,0.564146609609635,1
7699,0.661144400300311,1
7700,0.759926016897031,1
7701,0.54495907846002,1
7702,0.427133203008495,0
7703,0.18524272897114,0
7704,0.827626279551912,1
7705,0.402086198669008,0
7706,0.51151654616813,1
7707,0.421859244992495,0
7708,0.765907960768652,1
7709,0.284534207820634,0
7710,0.383694125823826,0
7711,0.25606223848061,0
7712,0.558074996238859,1
7713,0.248428715776637,0
7714,0.526061183019886,1
7715,0.611999210151129,1
7716,0.289150659863547,0
7717,0.617036989065627,1
7718,0.220828379142736,0
7719,0.2549697072298,0
7720,0.559255414509108,1
7721,0.171048032694735,0
7722,0.125584799564608,0
7723,0.500408629817052,1
7724,0.448904529797365,0
7725,0.545048748781143,1
7726,0.693211853615518,1
7727,0.640837607967734,1
7728,0.414655158431829,0
7729,0.483824718488253,0
7730,0.707859253545948,1
7731,0.636838281361855,1
7732,0.410157922176296,0
7734,0.245995204799933,0
7735,0.377037242509522,0
7736,0.742536241533086,1
7737,0.341683212567719,0
7738,0.455167658070841,0
7739,0.366022322980381,0
7740,0.585249963936749,1
7741,0.165059432728582,0
7742,0.80476593336106,1
7743,0.264393719951317,0
7744,0.788498261755665,1
7745,0.786155081992282,1
7746,0.543229772149798,1
7747,0.679131307118204,1
7748,0.155492564115233,0
7749,0.196659504165331,0
7750,0.220185746077576,0
7751,0.688399766851162,1
7752,0.626101760390965,1
7753,0.491674212269523,0
7754,0.370366558724446,0
7755,0.641011449494459,1
7756,0.403002219166988,0
7757,0.45684704285121,0
7758,0.834006537493997,1
7759,0.353916218582771,0
7760,0.873890574371772,1
7761,0.11464067547605,0
7762,0.395597237338123,0
7763,0.691192517949799,1
7764,0.55180657148938,1
7765,0.535137270156987,1
7766,0.193066659475744,0
7767,0.532599448453471,1
7768,0.836325481708034,1
7769,0.717902616850009,1
7770,0.40646932407059,0
7771,0.358930454590261,0
7772,0.356879791379068,0
7773,0.727985770526332,1
7774,0.360425772198764,0
7775,0.329908898560718,0
7776,0.58483842243788,1
7777,0.167076780186812,0
7778,0.393408950727757,0
7779,0.468672983893594,0
7780,0.397327217321901,0
7781,0.585067263835433,1
7782,0.733418954987101,1
7783,0.410333134302168,0
7784,0.396192969289229,0
7785,0.429217131624991,0
7786,0.56247528327774,1
7787,0.669892726844345,1
7788,0.612154258141398,1
7789,0.308100592161085,0
7790,0.135433073599434,0
7791,0.287228942988489,0
